Dates,BTC Index,ETH Index,BGCI Index,FSTOK10 Index,FSTOK40 Index,SOBLCRTA Index,HODL5 Index
23/11/2022,1855.84,1813.44,832.16,306.071,197.726,3094.13,3821.58
24/11/2022,1855.84,1813.44,832.16,306.071,197.726,3085.7,3880.62
25/11/2022,1854.12,1857.33,836.06,306.071,197.726,3075.32,3859.52
28/11/2022,1820.63,1813.37,819.27,317.856,211.488,3022.7,3763.14
29/11/2022,1849.6,1891.34,839.39,317.856,211.488,3030,3857.75
30/11/2022,1915.08,2001.17,877.09,318.505,210.782,3175.84,3980.76
01/12/2022,1895.08,1965.13,868.1,333.295,216.672,3130.11,3988.13
02/12/2022,1911.81,2002.51,880.31,328.394,212.942,3125.63,4018.85
05/12/2022,1901.65,1944.47,867.01,330.293,214.753,3041.61,4012.94
06/12/2022,1906.5,1939.62,865.95,326.795,212.968,2976.54,3985.86
07/12/2022,1888.02,1906.61,851.54,329.178,212.261,2948.07,3926.51
08/12/2022,1928.98,1977.56,874.57,322.716,207.233,2978.09,3950.77
09/12/2022,1919.43,1952.5,866.06,331.542,210.306,2952.54,4012.07
12/12/2022,1925.91,1965.77,858.96,331.542,210.306,3008.95,3928.07
13/12/2022,1992.61,2041.39,892.46,329.092,204.889,2985.71,4096.93
14/12/2022,1998.75,2026.71,888.04,329.092,204.889,2947.36,4161.44
15/12/2022,1954.26,1966.94,864.77,337.785,204.611,2842.82,4000.74
16/12/2022,1892.4,1860.33,829.12,328.357,200.736,2828.66,3856.46
19/12/2022,1862.9,1819.95,798.19,313.727,190.654,2784.36,3742.88
20/12/2022,1892.41,1878.25,816.42,307.512,183.072,2789.11,3809.99
21/12/2022,1883.37,1872.32,809.71,317.865,187.244,2834.11,3781.23
22/12/2022,1883.25,1880.88,813.14,317.865,187.244,2787.26,3711.65
23/12/2022,1885.43,1886.73,814.59,316.532,187.701,2797.09,3777.39
26/12/2022,1885.43,1886.73,814.59,316.451,186.933,2797.09,3764.18
27/12/2022,1868.86,1870.27,808.85,318.622,187.875,2754.28,3755.1
